locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
54_91,1,1000,0,2.519,0.56466,#NAME?,TRUE
92_41,0.81124,0.63324,0.022037,1.2267,0.31268,-1.656847528,TRUE
117_62,1,1000,0,2.2642,0.51097,#NAME?,TRUE
198_50,0.99995,4.301,3.52E-06,1.9194,0.43848,-5.453296973,TRUE
220_76,1,1000,0,1.7067,0.39309,#NAME?,TRUE
221_37,0.66123,0.29045,0.047697,-1.194,0.059644,-1.321508936,TRUE
256_50,0.96605,1.4541,0.0028402,1.5856,0.374,-2.546651077,TRUE
348_68,1,1000,0,2.0521,0.4659,#NAME?,TRUE
364_48,0.9854,1.8292,0.00096116,1.6543,0.38645,-3.017204311,TRUE
367_29,0.99195,2.0907,0.00057874,1.6891,0.39288,-3.2375165,TRUE
490_42,1,1000,0,1.914,0.43714,#NAME?,TRUE
514_78,0.98925,1.9639,0.00066804,1.1241,0.28213,-3.175197533,TRUE
616_42,0.93905,1.1877,0.0058173,1.4114,0.34087,-2.235278539,TRUE
617_66,1,1000,0,1.7683,0.40627,#NAME?,TRUE
669_43,1,1000,0,1.8897,0.43116,#NAME?,TRUE
735_70,1,1000,0,3.0817,0.6791,#NAME?,TRUE
765_32,0.9607,1.3882,0.0035761,1.519,0.36093,-2.446590345,TRUE
964_90,1,1000,0,1.5609,0.36353,#NAME?,TRUE
1020_35,0.9988,2.9203,6.60E-05,1.3204,0.31804,-4.180357372,TRUE
1190_32,0.9998,3.6989,2.05E-05,1.7535,0.40479,-4.688288511,TRUE
1193_50,0.97305,1.5576,0.0023508,-1.9785,0.025748,-2.628784318,TRUE
1565_85,0.99735,2.5756,0.00022281,1.3562,0.32507,-3.652065321,TRUE
1571_90,1,1000,0,1.9638,0.44759,#NAME?,TRUE
1881_78,1,1000,0,2.6242,0.58722,#NAME?,TRUE
1933_85,0.9057,0.98245,0.011725,0.96016,0.25637,-1.930887149,TRUE
1975_66,0.81529,0.64482,0.021483,0.91409,0.25201,-1.667905072,TRUE
2196_52,1,1000,0,2.0163,0.45857,#NAME?,TRUE
2408_39,1,1000,0,1.5899,0.36979,#NAME?,TRUE
2425_39,1,1000,0,1.3784,0.32802,#NAME?,TRUE
2446_50,1,1000,0,1.9034,0.43487,#NAME?,TRUE
2735_76,1,1000,0,2.1558,0.48794,#NAME?,TRUE
2742_74,0.84824,0.74737,0.018025,0.99191,0.2645,-1.744124727,TRUE
2844_90,0.70779,0.3842,0.039456,-1.4346,0.052062,-1.403886945,TRUE
2874_78,1,1000,0,1.7866,0.40977,#NAME?,TRUE
2934_73,0.66258,0.29307,0.046836,-1.2262,0.058902,-1.329420203,TRUE
2974_48,1,1000,0,1.9411,0.44299,#NAME?,TRUE
2990_79,1,1000,0,1.6072,0.37398,#NAME?,TRUE
3015_76,0.99745,2.5923,0.00018475,1.7387,0.40247,-3.733415553,TRUE
3076_54,0.9948,2.2817,0.0004211,1.5441,0.36292,-3.375614759,TRUE
3096_79,0.99735,2.5756,0.00022281,1.7311,0.40089,-3.652065321,TRUE
3195_89,0.9555,1.3318,0.0042161,1.1833,0.29527,-2.375089097,TRUE
3226_52,0.71034,0.38957,0.038686,0.88927,0.25225,-1.412446173,TRUE
3341_58,1,1000,0,1.47,0.34578,#NAME?,TRUE
3396_46,0.99995,4.301,3.52E-06,1.3388,0.32091,-5.453296973,TRUE
3460_56,0.9999,3.9999,8.67E-06,1.4031,0.33344,-5.062126193,TRUE
3523_34,1,1000,0,2.1156,0.47929,#NAME?,TRUE
3680_38,1,1000,0,1.8662,0.42753,#NAME?,TRUE
3708_57,1,1000,0,2.2771,0.51362,#NAME?,TRUE
3753_32,0.9874,1.8941,0.00077915,1.1023,0.27826,-3.108378925,TRUE
3776_57,0.96925,1.4986,0.0027078,1.1779,0.29336,-2.567383416,TRUE
3828_44,0.68283,0.33303,0.043463,-1.3656,0.054976,-1.3618803,TRUE
3875_79,1,1000,0,2.3204,0.52293,#NAME?,TRUE
4062_70,1,1000,0,1.4397,0.34001,#NAME?,TRUE
4133_67,1,1000,0,1.4534,0.34291,#NAME?,TRUE
4176_76,0.9061,0.98449,0.011426,-1.9523,0.030487,-1.94210578,TRUE
4188_69,0.9968,2.4934,0.00027869,1.7305,0.40081,-3.554878614,TRUE
4365_60,1,1000,0,2.123,0.48078,#NAME?,TRUE
4402_81,1,1000,0,1.7706,0.40626,#NAME?,TRUE
4539_57,1,1000,0,2.2853,0.51532,#NAME?,TRUE
4620_80,0.99985,3.8238,1.23E-05,1.7604,0.40608,-4.908755234,TRUE
4671_56,0.93715,1.1735,0.00669,1.0134,0.26461,-2.174573882,TRUE
4734_49,0.9488,1.2679,0.004582,1.2163,0.30126,-2.338944915,TRUE
4747_79,1,1000,0,1.8639,0.42582,#NAME?,TRUE
4834_53,1,1000,0,2.4233,0.54458,#NAME?,TRUE
4893_83,0.9802,1.6946,0.0014235,1.5689,0.36937,-2.846642529,TRUE
4905_55,1,1000,0,2.0903,0.47391,#NAME?,TRUE
4989_29,0.68958,0.34664,0.041817,-1.2997,0.055799,-1.378647127,TRUE
5011_29,0.9777,1.6419,0.0018664,1.6231,0.38084,-2.728995274,TRUE
5333_31,0.9984,2.7952,9.59E-05,1.6495,0.38378,-4.018253857,TRUE
5336_88,1,1000,0,2.0036,0.45517,#NAME?,TRUE
5464_49,0.97935,1.676,0.0015097,1.1802,0.2932,-2.821109345,TRUE
5476_35,1,1000,0,1.7438,0.40101,#NAME?,TRUE
5541_38,0.9958,2.3749,0.00033352,1.7313,0.40104,-3.476878118,TRUE
5614_83,0.74174,0.45819,0.035773,-1.3945,0.050911,-1.446444637,TRUE
5654_86,0.99995,4.301,3.52E-06,1.7904,0.41224,-5.453296973,TRUE
5679_36,0.83604,0.70749,0.019448,0.90798,0.25026,-1.711125054,TRUE
5707_76,1,1000,0,1.5036,0.35247,#NAME?,TRUE
5824_49,0.96305,1.416,0.0029841,1.0524,0.2703,-2.525186627,TRUE
6085_61,0.939,1.1873,0.0060346,0.99319,0.26079,-2.219351512,TRUE
6220_71,1,1000,0,2.5612,0.57362,#NAME?,TRUE
6368_55,0.9865,1.8637,0.00083859,1.6469,0.38493,-3.076450321,TRUE
6426_86,0.9999,3.9999,8.67E-06,1.3715,0.32726,-5.062126193,TRUE
6429_61,1,1000,0,2.0148,0.45848,#NAME?,TRUE
