locus prob log10(PO) qval alpha fst
3_75 0.0100505 -1.99343 0.988358 0.0024756 0.25821
5_36 0.0090505 -2.0394 0.98889 -0.0032002 0.25708
6_49 0.010851 -1.9598 0.98778 0.0011741 0.25796
11_49 0.0092505 -2.0298 0.98882 -0.0023118 0.25730
16_59 0.0096005 -2.0135 0.98865 -0.0026969 0.25722
19_91 0.010201 -1.9869 0.98825 0.0036684 0.25839
20_88 0.012701 -1.8906 0.98667 0.0082598 0.25941
24_57 0.0088504 -2.0492 0.98895 0.0033390 0.25828
39_36 0.0099505 -1.9978 0.98842 0.0028876 0.25822
53_84 0.0099005 -2.0000 0.98846 -0.0027480 0.25725
54_91 0.0097005 -2.0090 0.98858 0.0018414 0.25802
63_78 0.010351 -1.9805 0.98814 0.0016653 0.25809
67_28 0.014401 -1.8353 0.98537 0.011362 0.26010
75_48 0.011151 -1.9478 0.98759 0.0076460 0.25926
86_65 0.012951 -1.8820 0.98649 0.010733 0.25989
88_61 0.0097505 -2.0067 0.98855 -0.0013916 0.25748
91_88 0.013201 -1.8736 0.98632 0.0085236 0.25945
92_41 0.010451 -1.9763 0.98806 -0.0075808 0.25649
93_56 0.010601 -1.9700 0.98796 -0.0047190 0.25697
98_40 0.010051 -1.9934 0.98836 -0.0018662 0.25737
101_40 0.010701 -1.9659 0.98788 -0.0050510 0.25692
109_73 0.012301 -1.9047 0.98692 -0.0083492 0.25645
111_79 0.010601 -1.9700 0.98796 -0.0029044 0.25727
117_62 0.011251 -1.9439 0.98753 0.0043652 0.25863
121_62 0.013651 -1.8589 0.98599 0.010677 0.25997
126_78 0.0098505 -2.0022 0.98849 -0.0027201 0.25723
139_71 0.012301 -1.9047 0.98692 0.0075607 0.25926
142_91 0.0095505 -2.0158 0.98867 -0.00059281 0.25761
148_88 0.010351 -1.9805 0.98814 -0.0048500 0.25691
160_61 0.0084504 -2.0694 0.98904 -0.0020997 0.25736
164_55 0.0077504 -2.1073 0.98911 -0.0017458 0.25726
166_78 0.0099005 -2.0000 0.98846 -0.0032744 0.25718
167_47 0.0098005 -2.0045 0.98853 0.0017866 0.25802
169_76 0.010151 -1.9891 0.98829 0.0032792 0.25835
174_91 0.0098005 -2.0045 0.98853 -0.0027333 0.25723
183_55 0.010101 -1.9912 0.98832 -0.00014138 0.25773
187_52 0.0095005 -2.0181 0.98869 0.00032512 0.25775
189_28 0.010501 -1.9742 0.98803 -0.0068429 0.25665
192_82 0.011801 -1.9229 0.98720 0.0092559 0.25958
198_50 0.011051 -1.9518 0.98766 -0.0057845 0.25685
200_65 0.010201 -1.9869 0.98825 -0.0029644 0.25727
206_70 0.012101 -1.9119 0.98703 -0.0089442 0.25637
212_71 0.012451 -1.8994 0.98682 0.0090691 0.25955
220_76 0.0087004 -2.0567 0.98898 0.00074904 0.25784
221_37 0.0096005 -2.0135 0.98865 -0.0029144 0.25722
227_47 0.010651 -1.9680 0.98792 -0.0048159 0.25695
228_89 0.0079004 -2.0989 0.98910 0.00095165 0.25780
232_56 0.012301 -1.9047 0.98692 0.0093189 0.25957
236_29 0.0086004 -2.0617 0.98901 -0.0033514 0.25708
240_71 0.011801 -1.9229 0.98720 -0.0085805 0.25642
244_78 0.011401 -1.9381 0.98745 -0.0048520 0.25704
245_66 0.012301 -1.9047 0.98692 0.0092257 0.25960
246_47 0.011151 -1.9478 0.98759 0.0010902 0.25793
248_70 0.012851 -1.8855 0.98657 0.0083372 0.25939
253_78 0.010201 -1.9869 0.98825 -0.0011666 0.25761
256_50 0.0096005 -2.0135 0.98865 -0.0063664 0.25665
263_66 0.010451 -1.9763 0.98806 -0.00012638 0.25776
265_28 0.012551 -1.8958 0.98677 0.0070357 0.25914
287_55 0.011601 -1.9305 0.98732 -0.0085372 0.25644
297_73 0.010451 -1.9763 0.98806 -0.0029390 0.25717
298_35 0.012351 -1.9029 0.98688 0.0087410 0.25953
308_46 0.014001 -1.8477 0.98569 0.0099867 0.25979
315_48 0.010401 -1.9784 0.98810 -0.0056949 0.25675
331_54 0.010801 -1.9618 0.98781 -0.0054455 0.25687
348_68 0.010201 -1.9869 0.98825 -0.0035398 0.25715
364_48 0.0078004 -2.1045 0.98911 -0.0028837 0.25709
367_29 0.0086504 -2.0592 0.98900 -0.0029898 0.25708
368_37 0.012901 -1.8837 0.98653 0.0079706 0.25934
373_59 0.011701 -1.9267 0.98727 -0.0089328 0.25633
376_68 0.010151 -1.9891 0.98829 -0.0042743 0.25706
