locus prob log10(PO) qval alpha fst
3_75 0.00855043 -2.06428 0.990176 0.0018769 0.51475
5_36 0.0067003 -2.1710 0.99088 7.0484e-06 0.51437
6_49 0.0097505 -2.0067 0.98855 0.0010099 0.51458
11_49 0.0088004 -2.0517 0.98994 -0.0019702 0.51395
16_59 0.010301 -1.9826 0.98771 0.0022711 0.51484
19_91 0.0099505 -1.9978 0.98823 -0.0030151 0.51373
20_88 0.0098505 -2.0022 0.98840 0.0023548 0.51487
24_57 0.0085004 -2.0669 0.99021 0.0020620 0.51480
39_36 0.0080004 -2.0934 0.99055 -0.0032965 0.51367
53_84 0.011001 -1.9538 0.98689 -0.0057784 0.51316
54_91 0.0071504 -2.1426 0.99080 0.0035707 0.51519
63_78 0.0083004 -2.0773 0.99037 0.00057105 0.51453
67_28 0.0096005 -2.0135 0.98883 0.00044518 0.51446
75_48 0.0091005 -2.0370 0.98958 0.0025148 0.51492
86_65 0.0089504 -2.0443 0.98977 0.0030498 0.51502
88_61 0.0096005 -2.0135 0.98883 -0.0028135 0.51377
91_88 0.0089504 -2.0443 0.98977 0.0025287 0.51492
92_41 0.0064503 -2.1876 0.99091 0.00056678 0.51450
93_56 0.0069003 -2.1581 0.99085 -0.00050461 0.51428
98_40 0.0098505 -2.0022 0.98840 -0.0034174 0.51365
101_40 0.0096505 -2.0112 0.98874 -0.0046387 0.51337
109_73 0.0078504 -2.1017 0.99062 -0.00058115 0.51425
111_79 0.0097505 -2.0067 0.98855 0.00088888 0.51456
117_62 0.0077504 -2.1073 0.99066 0.0042845 0.51536
121_62 0.0079004 -2.0989 0.99059 0.0018828 0.51478
126_78 0.012451 -1.8994 0.98563 -0.0089502 0.51254
139_71 0.0086004 -2.0617 0.99013 0.0017368 0.51476
142_91 0.0086504 -2.0592 0.99009 0.0020852 0.51483
148_88 0.0086004 -2.0617 0.99013 -0.0030873 0.51375
160_61 0.0089504 -2.0443 0.98977 0.0018172 0.51475
164_55 0.0083004 -2.0773 0.99037 0.0020939 0.51482
166_78 0.0090005 -2.0418 0.98970 0.0010995 0.51461
167_47 0.011151 -1.9478 0.98666 -0.0052409 0.51328
