LG	n_windows	start	end
LG02	4	8313814.483	8756130.013
LG03	4	1644844.154	2187160.617
LG04	1	9477754.55	9477754.55
LG04	2	10795984.95	11015690.02
LG04	1	11674805.22	11674805.22
LG04	3	13652150.83	14091560.96
LG05	2	23074706.45	23225122
LG06	5	20743835.56	21380688.63
LG07	5	2166048.906	2949247.51
LG07	4	20179616.8	20767015.75
LG07	2	28011602.84	28207402.49
LG09	4	1661285.698	2114271.745
LG10	2	3062283.087	3220949.879
LG12	1	11738111.34	11738111.34
LG13	2	11473842.05	11629413.83
LG13	2	21586007.65	21741579.43
LG13	3	24541871.44	24853015
LG14	5	3164343.926	3901514.235
LG14	4	16433409.48	16986287.21
LG15	7	781666	2277479.409
LG16	2	3164343.926	9530467.846
LG16	4	14199331.2	14782939.12
LG17	4	16424981.19	16765281.85
LG19	11	17072658.92	18364213.95
LG21	1	20001595.28	20001595.28
LG22	5	6219032.369	6716389.148
LG23	4	3942747.819	4374858.658
