locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
5_36,0.99975,3.6019,7.5761e-06,1.246,0.46727,-5.12055430153889,True
54_91,1,1000,0,2.498,0.74375,-Inf,True
92_41,1,1000,0,1.5342,0.5358,-Inf,True
117_62,1,1000,0,2.422,0.73011,-Inf,True
126_78,0.9004,0.95615,0.0068668,-2.0854,0.047162,-2.16324560152982,True
198_50,1,1000,0,1.9867,0.64048,-Inf,True
220_76,1,1000,0,1.627,0.5581,-Inf,True
256_50,1,1000,0,1.8413,0.6073,-Inf,True
348_68,1,1000,0,2.1666,0.67933,-Inf,True
364_48,1,1000,0,1.8377,0.60644,-Inf,True
367_29,1,1000,0,1.8669,0.61303,-Inf,True
373_59,0.94445,1.2305,0.0037539,-1.983,0.044649,-2.42551730071484,True
381_80,0.99945,3.2594,1.7223e-05,1.4424,0.51391,-4.76389119841272,True
419_59,0.78304,0.5574,0.020396,1.009,0.41807,-1.69045499670456,True
490_42,1,1000,0,1.7708,0.5917,-Inf,True
514_78,0.99815,2.732,5.9789e-05,1.19,0.454,-4.22337871030478,True
534_53,0.97345,1.5642,0.0015255,-2.2016,0.035505,-2.81658778802157,True
616_42,0.99965,3.4558,1.1237e-05,1.3375,0.48909,-4.94934961913609,True
617_66,1,1000,0,1.6581,0.56578,-Inf,True
669_43,1,1000,0,1.6877,0.57163,-Inf,True
700_40,0.72279,0.41619,0.028461,-1.5639,0.080727,-1.54574984469966,True
735_70,1,1000,0,2.877,0.80585,-Inf,True
765_32,0.99995,4.301,1.1858e-06,1.4606,0.51836,-5.92598855399106,True
769_63,0.65403,0.27656,0.040482,-1.3327,0.094723,-1.39273803946106,True
815_86,0.84814,0.74703,0.010979,1.1084,0.43957,-1.95943721491869,True
927_91,0.80879,0.62633,0.01517,-1.75,0.066031,-1.81901441921327,True
964_90,1,1000,0,1.6194,0.55645,-Inf,True
1020_35,1,1000,0,1.2627,0.47113,-Inf,True
1054_84,1,1000,0,1.6085,0.5534,-Inf,True
1176_29,0.9959,2.3854,0.00018402,1.3882,0.50119,-3.73513497363387,True
1190_32,1,1000,0,1.6486,0.56284,-Inf,True
1193_50,0.86174,0.79469,0.0099148,-1.8452,0.057641,-2.00371604189967,True
1228_69,0.94685,1.2508,0.0034621,-2.0474,0.042529,-2.46066039202938,True
1393_44,0.9998,3.6989,5.7255e-06,1.476,0.52183,-5.24218658099522,True
1571_90,1,1000,0,2.0793,0.66069,-Inf,True
1881_78,1,1000,0,2.9136,0.81147,-Inf,True
1933_85,0.9973,2.5674,0.00012319,1.1778,0.45109,-3.9094245447778,True
1975_66,0.93865,1.1847,0.0042349,0.99937,0.41068,-2.37315684034176,True
2029_74,0.99815,2.732,5.9789e-05,1.3553,0.49339,-4.22337871030478,True
2118_67,0.80709,0.62157,0.015627,-1.6158,0.070129,-1.80612438784764,True
2196_52,1,1000,0,2.0723,0.65918,-Inf,True
2227_90,1,1000,0,1.4885,0.52497,-Inf,True
2319_62,0.68623,0.33987,0.034237,0.84071,0.38126,-1.46550429716446,True
2408_39,1,1000,0,1.7834,0.59381,-Inf,True
2425_39,1,1000,0,1.5188,0.53239,-Inf,True
2446_50,1,1000,0,1.9231,0.62659,-Inf,True
2735_76,1,1000,0,2.4928,0.74291,-Inf,True
2874_78,1,1000,0,1.6413,0.56075,-Inf,True
2934_73,0.92965,1.121,0.0049347,-2.2042,0.040665,-2.30673924467719,True
2974_48,1,1000,0,1.8836,0.61735,-Inf,True
