Locus	fst	chromosome	position
1	3	0.0126	LG21	18027708
2	5	0.1659	LG11	27261814
3	6	0.0169	LG10	5565406
4	11	0.0581	LG10	22879220
5	16	0.0258	LG21	7743712
6	19	0.0216	LG21	4032093
7	24	0.0763	LG20	9392547
8	39	0.0186	LG09	17882115
9	53	0.0084	LG11	26240806
10	54	0.0118	LG20	10911887
11	63	0.015	LG07	8250504
12	88	-0.0066	LG15	17142273
13	92	0.0252	LG10	10496043
14	93	-0.0012	LG21	16435657
15	98	0.006	LG12	20292473
16	101	0.0302	LG03	20685759
17	109	-0.0105	LG05	10536052
18	111	-0.0089	LG02	19524547
19	117	0.0089	LG16	670282
20	126	0.0114	LG01	26277273
21	142	-0.0052	LG16	348177
22	148	0.0068	LG14	23216958
23	160	-8e-04	LG22	2265503
24	164	0.0533	LG04	20273388
25	166	-0.0073	LG02	23270721
26	167	0.0287	LG12	26759763
27	169	0.0049	LG03	15330761
28	174	0.0257	LG08	1312422
29	183	0.0038	LG19	12157293
30	187	0.0344	LG12	25008487
31	189	0.0541	LG03	25718099
32	198	-0.0068	LG10	12542466
33	200	0.034	LG08	1227839
34	206	0.0098	LG03	19138705
35	220	-0.0043	LG04	13609089
36	221	0.0069	LG04	1318919
37	227	-0.0016	LG08	13650675
38	228	0.0375	LG17	14007228
39	236	0.0862	LG19	13680590
40	240	0.0033	LG15	22676655
41	244	0.0257	LG10	5851012
42	246	0.0141	LG02	17086725
43	253	0.0091	LG01	13663746
44	256	0.0599	LG08	13184454
45	263	7e-04	LG09	19977194
46	287	-0.0068	LG18	6244277
47	297	0.0077	LG05	20858577
48	315	0.043	LG13	21280470
49	331	-0.0011	LG14	21214207
50	348	-0.0027	LG16	19876759
51	364	0.0735	LG13	13518047
52	367	0.0545	LG13	13517959
53	373	0.0035	LG08	21935513
54	376	0.0124	LG17	491060
55	377	-0.009	LG17	4388510
56	379	0.0286	LG09	18491323
57	381	0.0154	LG06	10890799
58	388	0.0128	LG14	9808221
59	391	0.0079	LG16	21523873
60	392	0.0207	LG23	8351293
61	404	-0.0054	LG13	423107
62	410	0.031	LG09	13926079
63	415	0.0046	LG09	6944185
64	419	0.034	LG17	10517407
65	425	-0.0071	LG20	5151213
66	440	0.0227	LG03	27467841
67	463	0.0223	LG21	9638567
68	490	0.0052	LG14	1523992
69	512	-0.0085	LG18	9558850
70	514	0.006	LG20	1413400
71	522	0.0051	LG12	18820544
72	525	-0.0047	LG22	19123984
73	534	0.0189	LG05	20110056
74	541	-0.0014	LG12	10886813
75	545	0.0026	LG08	10413548
76	561	0.0072	LG09	10073918
77	571	0.129	LG08	11071974
78	579	-0.0028	LG20	5032562
79	589	-0.0147	LG05	2535105
80	594	0.0175	LG20	21987431
81	605	-0.0011	LG16	11855044
82	612	-0.0033	LG21	15008260
