Locus	Fwc(is)	Fwc(st)	Fwc(it)
2_82            -0.0097        -           -   
27_34            0.0000        -           -   
38_30           -0.0058        -           -   
40_73            0.4484        -           -   
47_73           -0.0000        -           -   
72_70            0.1816        -           -   
81_64           -0.0293        -           -   
90_37            0.0000        -           -   
106_70           0.4894        -           -   
107_84          -0.0025        -           -   
124_66           0.2467        -           -   
135_28          -0.0000        -           -   
158_41          -0.0000        -           -   
159_50          -0.9462        -           -   
165_69          -0.0000        -           -   
173_47           1.0000        -           -   
179_43           0.0835        -           -   
183_55          -0.0082        -           -   
198_50           0.0000        -           -   
208_51           0.3932        -           -   
216_53          -0.2774        -           -   
218_64          -0.0000        -           -   
220_76           0.1683        -           -   
239_81          -0.0000        -           -   
241_51          -0.0000        -           -   
243_76          -0.0000        -           -   
244_91          -0.0782        -           -   
252_63          -0.0000        -           -   
254_53          -0.0000        -           -   
257_64          -0.0000        -           -   
262_61           0.0000        -           -   
265_42           0.2188        -           -   
272_78           0.0000        -           -   
276_44          -0.0047        -           -   
282_56          -0.0000        -           -   
299_34           0.0000        -           -   
302_29           0.4066        -           -   
314_60           1.0000        -           -   
318_69          -0.0000        -           -   
323_31           1.0000        -           -   
330_34           0.1339        -           -   
331_54           0.0897        -           -   
339_87           0.0000        -           -   
347_57           0.0000        -           -   
349_33           0.2633        -           -   
350_41          -0.0000        -           -   
357_44           0.1885        -           -   
360_57           0.0000        -           -   
362_65           0.2392        -           -   
363_39           0.6615        -           -   
370_84           0.0000        -           -   
371_46           0.0000        -           -   
372_62          -0.0016        -           -   
375_88           0.0000        -           -   
378_91           0.3753        -           -   
388_77          -0.0696        -           -   
397_75          -0.0106        -           -   
400_73           0.1252        -           -   
407_63           0.0000        -           -   
408_31          -0.0000        -           -   
412_74          -0.0000        -           -   
414_30          -0.0000        -           -   
416_35           0.0000        -           -   
437_44           0.4002        -           -   
440_43           0.1350        -           -   
442_53           0.0000        -           -   
443_30          -0.0024        -           -   
444_62           0.3528        -           -   
445_85           0.0000        -           -   
447_55           0.0000        -           -   
455_52           0.0000        -           -   
461_47           0.3282        -           -   
462_77          -0.0276        -           -   
469_37           0.0000        -           -   
474_77          -0.0000        -           -   
491_77          -0.0020        -           -   
497_44          -0.0000        -           -   
499_35           0.4259        -           -   
504_55           0.0000        -           -   
508_50           0.1574        -           -   
516_87           0.0000        -           -   
525_48          -0.0166        -           -   
529_54           0.0000        -           -   
532_39           0.5554        -           -   
542_39           0.4257        -           -   
550_71           0.0000        -           -   
554_73           0.0147        -           -   
562_28           0.0000        -           -   
566_51          -0.0032        -           -   
571_76           0.1474        -           -   
582_43          -0.0024        -           -   
585_85           0.0000        -           -   
591_70          -0.0020        -           -   
599_69          -0.0024        -           -   
609_48          -0.0000        -           -   
611_89          -0.0000        -           -   
621_65          -0.0000        -           -   
628_75           0.0000        -           -   
638_53          -0.0000        -           -   
640_57           0.1717        -           -   
658_63           0.0000        -           -   
659_67           0.0000        -           -   
661_60          -0.0261        -           -   
663_54          -0.0000        -           -   
672_61           0.0000        -           -   
674_58          -0.0017        -           -   
676_34           1.0000        -           -   
678_31          -0.0000        -           -   
682_67           0.0645        -           -   
702_39          -0.0000        -           -   
703_47          -0.0049        -           -   
710_57          -0.0000        -           -   
711_52           0.4936        -           -   
712_55           0.0000        -           -   
717_36           0.0000        -           -   
727_81          -0.0000        -           -   
738_43          -0.0000        -           -   
762_42           0.0000        -           -   
767_56           0.0000        -           -   
781_35          -0.0074        -           -   
792_76           0.0273        -           -   
811_77          -0.0000        -           -   
817_43           0.3424        -           -   
819_71           0.0000        -           -   
825_91           0.1200        -           -   
827_67           0.0000        -           -   
831_86           0.0000        -           -   
844_68           0.0000        -           -   
849_32          -0.0023        -           -   
856_75          -0.0000        -           -   
866_83          -0.0000        -           -   
867_83           0.0000        -           -   
872_81          -0.0000        -           -   
881_42           0.0000        -           -   
882_41           0.0000        -           -   
883_69          -0.0000        -           -   
886_63           0.4969        -           -   
889_80           0.1768        -           -   
901_64           0.0000        -           -   
907_40           0.1351        -           -   
911_73           1.0000        -           -   
921_47          -0.0000        -           -   
927_91           0.1376        -           -   
929_41          -0.0050        -           -   
933_91          -0.0029        -           -   
935_90          -0.0000        -           -   
946_37          -0.0000        -           -   
949_85           0.0000        -           -   
956_30          -0.0039        -           -   
963_40           0.0000        -           -   
965_86          -0.0219        -           -   
972_62          -0.0000        -           -   
978_66          -0.0025        -           -   
979_47          -0.0000        -           -   
980_61           0.0000        -           -   
984_68           0.6659        -           -   
1005_31         -0.0031        -           -   
1016_52          0.1610        -           -   
1023_43          0.0000        -           -   
1030_46          0.4544        -           -   
1036_89         -0.0183        -           -   
1037_64          0.2758        -           -   
1038_82         -0.0000        -           -   
1058_87          0.2701        -           -   
1068_88         -0.0032        -           -   
1083_56          0.7988        -           -   
1084_34          0.0000        -           -   
1093_80         -0.0363        -           -   
1100_41         -0.0000        -           -   
1113_68          0.0000        -           -   
1115_46         -0.0383        -           -   
1124_74         -0.0038        -           -   
1133_57         -0.0000        -           -   
1134_30         -0.0020        -           -   
1136_73         -0.0000        -           -   
1145_84          0.3947        -           -   
1150_81         -0.0017        -           -   
1152_74         -0.2958        -           -   
1155_91          0.0670        -           -   
1158_87          0.0000        -           -   
1159_43          0.1059        -           -   
1161_53          0.1788        -           -   
1164_31         -0.0000        -           -   
1165_30          0.0000        -           -   
1169_65         -0.0023        -           -   
1172_37          0.0000        -           -   
1183_89          1.0000        -           -   
1188_60         -0.0024        -           -   
1189_65         -0.1408        -           -   
1192_45          0.0000        -           -   
1197_62         -0.0024        -           -   
1202_87          0.0000        -           -   
1207_32         -0.0000        -           -   
1208_37         -0.0000        -           -   
1215_32          0.0000        -           -   
1218_29         -0.0338        -           -   
1223_46          0.0553        -           -   
1224_69          0.0000        -           -   
1240_53         -0.0019        -           -   
1244_71         -0.0000        -           -   
1245_91          0.0342        -           -   
1251_65         -0.0000        -           -   
1253_87         -0.0000        -           -   
1256_90         -0.0033        -           -   
1304_33         -0.0000        -           -   
1313_62          0.6657        -           -   
1322_89          0.4643        -           -   
1325_40         -0.0000        -           -   
1343_28         -0.0000        -           -   
1346_88         -0.0000        -           -   
1347_51         -0.0017        -           -   
1348_64          0.0000        -           -   
1352_50         -0.0000        -           -   
1364_56         -0.0000        -           -   
1367_79          1.0000        -           -   
1370_38         -0.0017        -           -   
1373_85          0.0000        -           -   
1377_50          0.0000        -           -   
1379_90          0.3949        -           -   
1380_66         -0.0000        -           -   
1387_49          0.0000        -           -   
1389_42          0.5981        -           -   
1396_71          0.0000        -           -   
1397_80          0.0000        -           -   
1401_63          0.0000        -           -   
1405_30         -0.0000        -           -   
1407_49          0.0000        -           -   
1418_49          0.0000        -           -   
1419_48          0.0000        -           -   
1438_89         -0.0000        -           -   
1444_87         -0.0025        -           -   
1451_41         -0.0079        -           -   
1456_73          0.0000        -           -   
1457_50         -0.0000        -           -   
1460_53          0.0000        -           -   
1467_34         -0.0147        -           -   
1480_57         -0.0000        -           -   
1506_36         -0.0016        -           -   
1511_61          0.0000        -           -   
1515_55         -0.0055        -           -   
1521_59          0.0287        -           -   
1528_47         -0.0342        -           -   
1533_34         -0.0000        -           -   
1534_69          0.2416        -           -   
1536_75         -0.0020        -           -   
1549_39         -0.0000        -           -   
1552_45          0.0000        -           -   
1561_33         -0.0050        -           -   
1576_88          0.0706        -           -   
1581_78         -0.0000        -           -   
1595_50          0.1136        -           -   
1599_86         -0.0000        -           -   
1600_79          0.3201        -           -   
1608_88         -0.0200        -           -   
1611_70          0.0000        -           -   
1623_67          0.0000        -           -   
1626_45          0.0000        -           -   
1628_91         -0.0000        -           -   
1644_45         -0.0168        -           -   
1646_85         -0.0016        -           -   
1648_76          0.0000        -           -   
1650_78         -0.0000        -           -   
1663_54          0.6209        -           -   
1689_33         -0.0146        -           -   
1704_84         -0.0078        -           -   
1707_72          0.0624        -           -   
1712_49          0.1242        -           -   
1718_28          0.1963        -           -   
1721_57         -0.0000        -           -   
1723_88          0.1526        -           -   
1730_80         -0.0334        -           -   
1732_71         -0.0274        -           -   
1735_57          0.0000        -           -   
1744_88         -0.0000        -           -   
1759_84          0.4385        -           -   
1762_50          0.0246        -           -   
1767_79         -0.0256        -           -   
1770_63          0.1152        -           -   
1773_87          0.0627        -           -   
1776_61          0.0000        -           -   
1797_35          0.1992        -           -   
1798_58         -0.0000        -           -   
1802_68          0.5682        -           -   
1806_57         -0.0063        -           -   
1811_83         -0.0000        -           -   
1836_75          0.0631        -           -   
1837_52         -0.0096        -           -   
1846_73          0.0000        -           -   
1856_62         -0.0000        -           -   
1860_50         -0.0000        -           -   
1868_86         -0.0000        -           -   
1882_60          0.4122        -           -   
1885_86          0.3947        -           -   
1886_59          0.2877        -           -   
1901_91          0.0490        -           -   
1902_63          0.0000        -           -   
1909_73         -0.0000        -           -   
1911_86          0.1841        -           -   
1917_57         -0.0000        -           -   
1923_90         -0.0050        -           -   
1927_76          0.0000        -           -   
1930_73          0.2122        -           -   
1932_71         -0.0066        -           -   
1937_90          0.0000        -           -   
1960_36          0.0694        -           -   
1961_60          0.0844        -           -   
