Locus	chromosome	fst	c_pos
15791	PCodG	0.0193	141695
12205	PCodG	-0.004	144969
15232	PCodG	0.006	1020445
13670	PCodG	-0.0018	1022687
3096	PCodG	0.1639	1380478
16742	PCodG	0	1741024
23271	PCodG	0.0878	2020904
5208	PCodG	-0.0028	2044448
13090	PCodG	0.0422	2507110
14344	PCodG	0.0249	2557271
3917	PCodG	0.0046	2734304
24936	PCodG	0.0157	2977826
25135	PCodG	0.038	3189475
14379	PCodG	0.0115	3282792
13486	PCodG	-0.0053	3357702
9350	PCodG	0.0224	3570289
8336	PCodG	0.0564	3590892
1617	PCodG	0.0091	3728784
21801	PCodG	0.0535	3842286
15543	PCodG	-0.0052	3923225
19183	PCodG	-0.0044	4056640
18328	PCodG	-0.0012	4337363
22648	PCodG	0.0368	4342933
1773	PCodG	-0.002	4343021
20195	PCodG	0.1085	4436797
6409	PCodG	-0.0039	4436885
18309	PCodG	-0.0014	4438940
24083	PCodG	0.028	4439028
13162	PCodG	0.0645	4650983
11437	PCodG	0.0337	4662599
19437	PCodG	0.0775	4662687
16955	PCodG	0.0502	4680553
14814	PCodG	0.013	4757332
5894	PCodG	-0.002	5179409
14329	PCodG	-0.0046	5404659
13937	PCodG	-3.00E-04	5901020
14234	PCodG	0.0846	5909093
11400	PCodG	0.2572	5957030
24153	PCodG	0.0182	5987265
8445	PCodG	-0.0046	6120990
4739	PCodG	0.0555	6163089
24874	PCodG	-0.0043	6163947
16209	PCodG	0.0229	6164035
15217	PCodG	-0.0053	6363572
13020	PCodG	0.2883	6378884
20794	PCodG	0.0415	6675702
22437	PCodG	-0.0017	6834192
17825	PCodG	-8.00E-04	6887258
15240	PCodG	0.0026	7286931
15269	PCodG	0.0391	7489971
8242	PCodG	0.0094	7621451
10366	PCodG	0.0358	7718267
3843	PCodG	0.1422	7799052
24178	PCodG	0.0221	7923832
12771	PCodG	0.0248	7923920
9801	PCodG	0.1829	8078099
1190	PCodG	-0.0014	8092422
20559	PCodG	0.0518	8160450
13142	PCodG	0.0399	8383158
4132	PCodG	0.016	8475035
8218	PCodG	-0.0056	8477564
23556	PCodG	-0.0063	8703318
1094	PCodG	0.0136	8989975
15675	PCodG	0.2322	8990063
5482	PCodG	6.00E-04	9010262
7545	PCodG	0.1019	9399694
1713	PCodG	0.0065	9493971
23449	PCodG	-0.0044	9519370
1393	PCodG	0.0494	9598261
8312	PCodG	-0.0058	9665796
17660	PCodG	0.1776	9866994
9645	PCodG	0.0605	10419488
2455	PCodG	0.0243	10925525
8789	PCodG	-0.0054	11152405
