locus prob log10(PO) qval alpha fst
3_75 0.000650033 -3.18678 0.998164 1.4550e-06 0.022287
5_36 0.0016501 -2.7818 0.98039 0.0012436 0.022330
6_49 0.00055003 -3.2594 0.99821 0.00020798 0.022291
11_49 0.00090005 -3.0453 0.99779 -0.00055410 0.022274
16_59 0.00080004 -3.0965 0.99799 0.00024029 0.022290
19_91 0.00095005 -3.0218 0.99764 1.3053e-05 0.022294
20_88 0.0010501 -2.9783 0.99721 0.00069128 0.022326
24_57 0.0012501 -2.9025 0.99553 0.00091943 0.022321
39_36 0.0010001 -2.9995 0.99745 0.00047924 0.022306
53_84 0.00085004 -3.0702 0.99790 6.4009e-05 0.022285
54_91 0.00085004 -3.0702 0.99790 0.00016149 0.022294
63_78 0.0014501 -2.8380 0.99080 -7.2714e-05 0.022294
67_28 0.0014501 -2.8380 0.99080 0.00031132 0.022306
75_48 0.0014501 -2.8380 0.99080 0.00037956 0.022306
86_65 0.0011501 -2.9388 0.99658 0.00049218 0.022327
88_61 0.0011501 -2.9388 0.99658 -0.00038688 0.022278
91_88 0.0010001 -2.9995 0.99745 0.00024964 0.022320
92_41 0.0011001 -2.9581 0.99693 -0.00042540 0.022273
93_56 0.00090005 -3.0453 0.99779 -0.00017264 0.022285
98_40 0.00090005 -3.0453 0.99779 -0.00049477 0.022275
101_40 0.0010501 -2.9783 0.99721 -8.0962e-05 0.022284
109_73 0.0011501 -2.9388 0.99658 -0.0010576 0.022269
111_79 0.0015001 -2.8232 0.98838 -0.0013497 0.022264
117_62 0.00065003 -3.1868 0.99816 0.00019653 0.022293
121_62 0.00065003 -3.1868 0.99816 0.00029802 0.022304
126_78 0.00050003 -3.3008 0.99823 -0.00026002 0.022277
139_71 0.0013501 -2.8691 0.99380 7.7615e-05 0.022305
142_91 0.0014501 -2.8380 0.99080 -0.00085507 0.022272
148_88 0.0011501 -2.9388 0.99658 -0.00017857 0.022286
160_61 0.00060003 -3.2216 0.99819 -0.00038583 0.022276
164_55 0.0012501 -2.9025 0.99553 0.00082536 0.022311
166_78 0.0011001 -2.9581 0.99693 -0.0010457 0.022268
