locus,prob,log10(PO),qval,alpha,fst,log10q,outlier
3226_52,0.99935,3.1868,0.00010501,1.802,0.082114,-3.9787693415203,True
4599_66,1,1000,0,2.749,0.18006,-Inf,True
4715_87,0.99645,2.4482,0.0006417,2.2402,0.12327,-3.19266796070881,True
4734_49,0.69963,0.36722,0.049488,1.198,0.056967,-1.3055000973409,True
5707_76,0.925,1.0911,0.0074182,1.6183,0.073681,-2.12970146195841,True
6432_60,1,1000,0,2.496,0.14751,-Inf,True
8586_81,0.77384,0.53423,0.033808,1.643,0.089339,-1.47098052029176,True
10913_90,1,1000,0,2.5673,0.1577,-Inf,True
11741_72,0.78909,0.57303,0.020984,1.3838,0.065262,-1.6781117224177,True
11990_79,0.9969,2.5073,0.00037729,2.3426,0.13433,-3.42332470553946,True
12233_73,0.9996,3.3977,4.4447e-05,2.3322,0.13181,-4.35215754689657,True
13286_89,0.97885,1.6654,0.0022193,1.9778,0.099031,-2.65378398684499,True
13411_68,1,1000,0,2.3303,0.12945,-Inf,True
14514_84,1,1000,0,2.4187,0.13892,-Inf,True
20705_78,1,1000,0,2.5821,0.15818,-Inf,True
21148_90,1,1000,0,2.4989,0.15002,-Inf,True
24940_51,1,1000,0,2.7092,0.17351,-Inf,True
