chromosome	position	Het	Mean_boostrap	lower_95	upper_95	pvalue
LG01	827324	0.0551404766514358	0.103184910812581	0.0102322177137823	0.33242325265037	0.296128470816273
LG01	1006397.53691275	0.0738146980684636	0.103747638304709	0.00256435063806561	0.331368188815644	0.370987510395744
LG01	1185471.0738255	0.11844533255037	0.114159422008926	0.00576465725404928	0.307572124650248	0.520798085126905
LG01	1364544.61073826	0.188069764809889	0.105799122402069	0.0107865245673577	0.308621469640233	0.846114623095017
LG01	1543618.14765101	0.245234068622352	0.106700882825378	0.0143186237474153	0.30806827822033	0.957725248637219
LG01	1722691.68456376	0.261994085888794	0.109155761803427	0.0101725238829579	0.300145997597095	0.974589542267745
LG01	1901765.22147651	0.257913615555532	0.114378868568524	0.00985789143669983	0.300943417730453	0.965093320526427
LG01	2080838.75838926	0.244033186578637	0.109379717691756	0.0150342694933975	0.295296039052749	0.961831753387434
LG01	2259912.29530201	0.215202219979339	0.116609890462444	0.0222879195747456	0.262629288415231	0.939152371733225
LG01	2438985.83221477	0.165754090441141	0.115522445931558	0.0227866429044809	0.265804194314658	0.781756492237545
LG01	2618059.36912752	0.117782251138438	0.117358080224535	0.020973517993792	0.265227110035467	0.502620638474951
LG01	2797132.90604027	0.0903975571215684	0.117829576815821	0.0270807051563676	0.25325643379418	0.32228766354398
LG01	2976206.44295302	0.103090385563512	0.118156036971652	0.0344030561751047	0.239772068285237	0.389470888095154
LG01	3155279.97986577	0.134339611334121	0.118228540556333	0.0342368473562684	0.23832213160826	0.618020734215161
LG01	3334353.51677852	0.148070832441264	0.118767422329651	0.0343187026194932	0.237194738658954	0.710193379539359
LG01	3513427.05369127	0.147316788175368	0.119106240091011	0.0366775802182435	0.231061385287473	0.712176439479888
LG01	3692500.59060403	0.137651584463903	0.119098077617266	0.0378149459758078	0.232371209459357	0.642413155367765
LG01	3871574.12751678	0.122268184336046	0.118763335021423	0.0391699685002095	0.233153393974392	0.527580276847488
LG01	4050647.66442953	0.101199387862945	0.119619541933007	0.0472896381218742	0.218584076974681	0.339063447218114
LG01	4229721.20134228	0.0879758966597611	0.120458627010935	0.0495064221456267	0.212146333018151	0.219382329582793
LG01	4408794.73825503	0.090393399129046	0.120418951723458	0.0494965945606138	0.211172462944655	0.236171363126861
LG01	4587868.27516779	0.105597991697204	0.120708805706543	0.0483244551524599	0.212355474671105	0.360097926515593
