chromosome	position	num_markers	loci_names
LG01	11788827.5234899	11	8789,11140,5753,9596,17561,23584,22978,1602,2780,13506,24673
LG01	11967469.0402685	12	11140,5753,9596,17561,23584,22978,1602,2780,13506,24673,21844,21720
LG01	12682035.1073825	11	13506,24673,21844,21720,9825,9456,17342,13276,7855,1176,23055
LG01	12860676.6241611	15	13506,24673,21844,21720,9825,9456,17342,13276,7855,1176,23055,17074,19716,15548,7573
LG01	16433506.9597315	9	16036,5925,12756,20222,16522,6077,15053,765,21518
LG01	16612148.4765101	11	5925,12756,20222,16522,6077,15053,765,21518,2990,24372,6225
LG01	16790789.9932886	9	6077,15053,765,21518,2990,24372,6225,23717,16441
LG02	4475821.5704698	7	20570,11304,14293,17606,23345,10191,13038
LG02	4623051.36912752	6	11304,14293,17606,23345,10191,13038
LG02	4770281.16778523	8	11304,14293,17606,23345,10191,13038,18002,16683
LG02	7273187.74496644	5	19750,19094,6195,11378,20552
LG02	7420417.54362416	2	11378,20552
LG02	7567647.34228188	2	11378,20552
LG02	7714877.1409396	4	11378,20552,6709,6275
LG02	7862106.93959732	7	11378,20552,6709,6275,6441,10012,14655
LG02	8303796.33557047	8	11378,20552,6709,6275,6441,10012,14655,7390
LG02	8451026.13422819	7	20552,6709,6275,6441,10012,14655,7390
LG02	8598255.93288591	6	6709,6275,6441,10012,14655,7390
LG02	8745485.73154362	6	6709,6275,6441,10012,14655,7390
LG02	8892715.53020134	6	6709,6275,6441,10012,14655,7390
LG02	9039945.32885906	6	6709,6275,6441,10012,14655,7390
LG02	9187175.12751678	7	6441,10012,14655,7390,24148,12065,15557
LG02	14781907.4765101	4	25143,3172,4836,6156
LG02	14929137.2751678	4	3172,4836,6156,12194
LG02	15076367.0738255	5	3172,4836,6156,12194,2110
LG02	15223596.8724832	4	4836,6156,12194,2110
LG02	15370826.6711409	4	4836,6156,12194,2110
LG02	15959745.8657718	4	12194,2110,5196,18780
LG02	16106975.6644295	5	12194,2110,5196,18780,695
LG02	21554478.2147651	10	16277,10577,17040,10806,10304,13321,5851,10227,21078,10374
LG02	21701708.0134228	10	16277,10577,17040,10806,10304,13321,5851,10227,21078,10374
LG03	4568336.84563758	2	8316,7117
LG03	4751279.89261745	5	8316,7117,12641,13796,19441
LG03	4934222.93959732	6	8316,7117,12641,13796,19441,13850
