chromosome	position	num_markers	loci_names
LG01	21958001.3557047	8	24866,17281,24790,2874,10399,12877,16033,829
LG01	23748736.7248322	9	2866,6801,9277,5569,9926,22373,4003,17121,3776
LG01	23927810.261745	6	5569,9926,22373,4003,17121,3776
LG01	24106883.7986577	5	22373,4003,17121,3776,4909
LG02	5070167.26174497	10	17606,23345,265,13038,24740,16683,15714,20284,8581,21377
LG02	5217605.77181208	12	17606,23345,265,13038,24740,16683,15714,20284,8581,21377,20373,8277
LG02	5365044.28187919	11	13038,24740,16683,15714,20284,8581,21377,20373,8277,9741,803
LG02	8313814.48322148	9	1082,6709,15007,6441,10012,14655,7132,368,21296
LG02	8461252.99328859	9	1082,6709,15007,6441,10012,14655,7132,368,21296
LG02	8608691.5033557	9	1082,6709,15007,6441,10012,14655,7132,368,21296
LG02	8756130.01342282	8	6709,15007,6441,10012,14655,7132,368,21296
LG02	14948547.4362416	3	7332,3172,18049
LG02	15095985.9463087	2	3172,18049
LG03	1644844.15436242	4	11905,1420,7509,22270
LG03	1825616.30872483	3	1420,7509,22270
LG03	2006388.46308725	2	7509,22270
LG03	2187160.61744966	4	7509,22270,11166,6971
LG03	21710553.2885906	7	25164,12729,22983,12734,12881,6768,20130
LG04	9477754.55033557	3	16046,10706,5824
LG04	10795984.9530201	3	16173,7000,6995
LG04	11015690.0201342	2	7000,6995
LG04	11674805.2214765	3	7000,6995,5707
LG04	13652150.8255034	7	3932,220,13443,2334,22728,14514,1138
LG04	13871855.8926174	9	3932,220,13443,2334,22728,14514,1138,2057,21683
LG04	14091560.9597315	10	3932,220,13443,2334,22728,14514,1138,2057,21683,16474
LG05	9537306.91946309	6	12823,17944,18906,24751,4471,8048
LG05	9687722.46979866	7	12823,17944,18906,24751,4471,8048,15308
LG05	9838138.02013423	9	12823,17944,18906,24751,4471,8048,15308,20232,109
LG05	9988553.5704698	10	17944,18906,24751,4471,8048,15308,20232,109,13066,15086
LG05	10138969.1208054	11	17944,18906,24751,4471,8048,15308,20232,109,13066,15086,25641
LG05	10289384.6711409	12	17944,18906,24751,4471,8048,15308,20232,109,13066,15086,25641,2810
LG05	10439800.2214765	11	24751,4471,8048,15308,20232,109,13066,15086,25641,2810,18355
LG05	10590215.7718121	12	4471,8048,15308,20232,109,13066,15086,25641,2810,18355,6292,10648
LG05	10740631.3221477	12	4471,8048,15308,20232,109,13066,15086,25641,2810,18355,6292,10648
LG05	15102682.2818792	4	20144,13979,12291,4162
LG05	23074706.4496644	5	14824,19408,15279,3226,8820
LG05	23225122	6	14824,19408,15279,3226,8820,20744
LG06	12305532.3288591	6	15332,9135,4452,8758,6112,3692
LG06	12464745.5973154	5	9135,4452,8758,6112,3692
LG06	12623958.8657718	6	9135,4452,8758,6112,3692,22020
LG06	20743835.557047	3	5336,4191,20705
LG06	20903048.8255034	3	4191,20705,15407
LG06	21062262.0939597	3	4191,20705,15407
LG06	21221475.3624161	3	4191,20705,15407
LG06	21380688.6308725	3	4191,20705,15407
LG07	2166048.90604027	4	16573,23992,24940,5946
LG07	2361848.55704698	4	16573,23992,24940,5946
LG07	2557648.20805369	3	23992,24940,5946
LG07	2753447.8590604	3	23992,24940,5946
LG07	2949247.51006711	3	23992,24940,5946
